2020-10-04 16:27:16,509:INFO:--- Archive channels starts with q4 [in /mnt/g/work/lior/myslack.py:82]
2020-10-04 16:35:14,253:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 16:35:28,371:INFO:--- Initialize Google Drive [in mas.py:23]
2020-10-04 16:35:28,371:INFO:--- Initialize Slack [in mas.py:27]
2020-10-04 16:35:28,412:INFO:--- Initialize Zoom [in mas.py:31]
2020-10-04 16:35:28,414:INFO:--- Initialize Email [in mas.py:35]
2020-10-04 16:35:36,341:INFO:--- Archive channels starts with q4 [in /mnt/g/work/lior/myslack.py:82]
2020-10-04 16:39:41,373:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 16:39:49,543:INFO:--- Initialize Google Drive [in mas.py:23]
2020-10-04 16:39:49,544:INFO:--- Initialize Slack [in mas.py:27]
2020-10-04 16:39:49,544:INFO:--- Initialize Zoom [in mas.py:31]
2020-10-04 16:39:49,544:INFO:--- Initialize Email [in mas.py:35]
2020-10-04 16:39:49,544:INFO:--- Setup Zoom [in /mnt/g/work/lior/zoom.py:73]
2020-10-04 16:39:56,014:WARNING:******* no matching zoom users for instuctor Leonardo Ferrari ******** [in /mnt/g/work/lior/zoom.py:140]
2020-10-04 16:39:56,304:WARNING:******* no matching zoom users for instuctor Benjamin E. Shaw ******** [in /mnt/g/work/lior/zoom.py:140]
2020-10-04 16:39:58,263:WARNING:******* no matching zoom users for instuctor Raymond Adrian ******** [in /mnt/g/work/lior/zoom.py:140]
2020-10-04 16:40:00,027:WARNING:******* no matching zoom users for instuctor Mandy Cummings ******** [in /mnt/g/work/lior/zoom.py:140]
2020-10-04 16:40:00,027:WARNING:******* no matching zoom users for instuctor Jim Bosiljevac ******** [in /mnt/g/work/lior/zoom.py:140]
2020-10-04 16:40:04,891:WARNING:******* no matching zoom users for instuctor Michael Lipton ******** [in /mnt/g/work/lior/zoom.py:140]
2020-10-04 16:41:43,631:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 16:41:51,757:INFO:--- Initialize Google Drive [in mas.py:23]
2020-10-04 16:41:51,757:INFO:--- Initialize Slack [in mas.py:27]
2020-10-04 16:41:51,757:INFO:--- Initialize Zoom [in mas.py:31]
2020-10-04 16:41:51,757:INFO:--- Initialize Email [in mas.py:35]
2020-10-04 16:41:51,757:INFO:--- Setup Zoom [in /mnt/g/work/lior/zoom.py:73]
2020-10-04 16:41:58,465:WARNING:******* no matching zoom users for instuctor Leonardo Ferrari ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:41:58,765:WARNING:******* no matching zoom users for instuctor Benjamin E. Shaw ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:42:01,142:WARNING:******* no matching zoom users for instuctor Raymond Adrian ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:42:02,292:WARNING:******* no matching zoom users for instuctor Mandy Cummings ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:42:02,293:WARNING:******* no matching zoom users for instuctor Jim Bosiljevac ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:42:07,337:WARNING:******* no matching zoom users for instuctor Michael Lipton ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:42:09,085:WARNING:******* no matching zoom users for instuctor Marina Beldi Hubner ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:42:09,684:WARNING:******* no matching zoom users for instuctor Industry Hero - Miami ******** [in /mnt/g/work/lior/zoom.py:138]
2020-10-04 16:47:32,511:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 16:47:43,432:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 16:47:51,452:INFO:--- Initialize Google Drive [in mas.py:23]
2020-10-04 16:47:51,452:INFO:--- Initialize Slack [in mas.py:27]
2020-10-04 16:47:51,500:INFO:--- Initialize Zoom [in mas.py:31]
2020-10-04 16:47:51,502:INFO:--- Initialize Email [in mas.py:35]
2020-10-04 16:47:58,693:INFO:--- Archive channels starts with q4 [in /mnt/g/work/lior/myslack.py:82]
2020-10-04 16:50:08,399:INFO:--- Update Campuscafe Course Schedule Sheet from df [in /mnt/g/work/lior/sheet.py:50]
2020-10-04 23:20:06,186:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 23:20:31,643:INFO:--- Initialize Google Drive [in mas.py:23]
2020-10-04 23:20:31,643:INFO:--- Initialize Slack [in mas.py:27]
2020-10-04 23:20:31,643:INFO:--- Initialize Zoom [in mas.py:31]
2020-10-04 23:20:31,644:INFO:--- Initialize Email [in mas.py:35]
2020-10-04 23:20:31,644:INFO:--- Setup Zoom [in /mnt/g/work/lior/zoom.py:73]
2020-10-04 23:21:51,847:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 23:22:22,280:INFO:--- Initialize Google Drive [in mas.py:23]
2020-10-04 23:22:22,280:INFO:--- Initialize Slack [in mas.py:27]
2020-10-04 23:22:22,281:INFO:--- Initialize Zoom [in mas.py:31]
2020-10-04 23:22:22,281:INFO:--- Initialize Email [in mas.py:35]
2020-10-04 23:22:22,281:INFO:--- Setup Zoom [in /mnt/g/work/lior/zoom.py:73]
2020-10-04 23:28:51,080:INFO:--- Initialize Spreadsheet [in mas.py:19]
2020-10-04 23:29:17,032:INFO:--- Initialize Google Drive [in mas.py:23]
2020-10-04 23:29:17,032:INFO:--- Initialize Slack [in mas.py:27]
2020-10-04 23:29:17,032:INFO:--- Initialize Zoom [in mas.py:31]
2020-10-04 23:29:17,032:INFO:--- Initialize Email [in mas.py:35]
2020-10-04 23:29:17,032:INFO:--- Setup Zoom [in /mnt/g/work/lior/zoom.py:73]
